,"colMeans(sibsHatchDiff, na.rm = TRUE)",,,,,bins,,,,,,,
B2013117-191,1.207505,,,,,0.2,,,Column1,,,Bin,Frequency
B2013117-193,1.021735,,,,,0.4,,,,,,0.2,3
B2013117-194,0.18577,,,,,0.6,,,Mean,1.038955423,,0.4,7
B2013117-198,0.74308,,,,,0.8,,,Standard Error,0.135324503,,0.6,13
B2013117-199,0.18577,,,,,1,,,Median,0.74308,,0.8,7
K20131111-225,5.15809,,,,,1.2,,,Mode,0.55731,,1,3
K20131113-227,0.55731,,,,,1.4,,,Standard Deviation,0.985177249,,1.2,6
K20131113-229,1.11462,,,,,1.6,,,Sample Variance,0.970574213,,1.4,4
K20131113-230,0.278655,,,,,1.8,,,Kurtosis,10.36381949,,1.6,3
K20131113-231,0.278655,,,,,2,,,Skewness,2.970749507,,1.8,2
K20131113-233,0.55731,,,,,2.2,,,Range,4.97232,,2,1
K20131113-234,1.52963,,,,,2.4,,,Minimum,0.18577,,2.2,0
K20131113-237,0.55731,,,,,2.6,,,Maximum,5.15809,,2.4,0
K20131113-238,1.11462,,,,,,,,Sum,55.0646374,,2.6,2
K20131113-239,0.55731,,,,,,,,Count,53,,More,2
K20131113-240,0.74308,,,,,,,,Confidence Level(95.0%),0.271548481,,,
K20131113-241,0.18577,,,,,,,,,,,,
K20131113-242,5.15809,,,,,,,,,,,,
K20131113-245,0.74308,,,Bin,Frequency,,,,,,,,
K20131115-258,1.52963,,,0.2,3,,,,,,,,
K20131119-270,1.480624,,,0.4,7,,,,,,,,
K20131119-271,1.183392,,,0.6,13,,,,,,,,
K20131119-274,0.737544,,,0.8,7,,,,,,,,
K20131120-277,0.92193,,,1,3,,,,,,,,
K20131120-278,0.92193,,,1.2,6,,,,,,,,
K20131120-279,1.332008,,,1.4,4,,,,,,,,
K2013117-185,0.7320989,,,1.6,3,,,,,,,,
K2013117-186,0.5002167,,,1.8,2,,,,,,,,
K2013117-187,0.5805313,,,2,1,,,,,,,,
K2013117-188,0.4747456,,,2.2,0,,,,,,,,
K2013117-189,0.5805313,,,2.4,0,,,,,,,,
K2013117-190,0.8972278,,,2.6,2,,,,,,,,
K2013118-200,1.9134722,,,More,2,,,,,,,,
K2013118-201,0.4747456,,,,,,,,,,,,
K2013118-202,0.55731,,,,,,,,,,,,
K2013118-203,0.55731,,,,,,,,,,,,
K2013118-204,0.5318389,,,,,,,,,,,,
K2013118-205,0.5924411,,,,,,,,,,,,
L20131113-254,0.37154,,,,,,,,,,,,
L20131113-255,0.37154,,,,,,,,,,,,
N20131111-206,1.67193,,,,,,,,,,,,
N20131111-207,0.74308,,,,,,,,,,,,
N20131111-210,0.37154,,,,,,,,,,,,
N20131111-212,2.54152,,,,,,,,,,,,
N20131111-213,1.11462,,,,,,,,,,,,
N20131111-215,0.37154,,,,,,,,,,,,
N20131111-217,0.37154,,,,,,,,,,,,
N20131111-219,0.74308,,,,,,,,,,,,
N20131111-220,1.67193,,,,,,,,,,,,
N20131111-224,1.11462,,,,,,,,,,,,
N20131118-266,2.54152,,,,,,,,,,,,
T20131119-267,1.34386,,,,,,,,,,,,
T20131121-280,1.34386,,,,,,,,,,,,
