Label,cladeNo,clade,,,,
N20131112-222,1,hN1,,,,
B2013117-196,1,hN1,,,,
N20131111-216,1,hN1,,,,
K20131113-228,1,hN1,,,,not a recorded or aged larvae : ie early DaRT trial sample.
K20131113-247,1,hN1,,,,
N20131118-263,1,hN1,,,,
L20131212-869,2,hL1,,,,
L20131113-256,2,hL1,,,,
K20131113-246,2,hL1,,,,
L20131113-255,2,hL1,,,,
L20131113-254,2,hL1,,,,
L20131113-250,2,hL1,,,,
K20131115-257,2,hL1,,,,
K20131115-261,2,hL1,,,,
K20131119-273,2,hL1,,,,
K20131123a,3,hK1,,,,
K20131123b,3,hK1,,,,
K2013117-185,3,hK1,,,,
B2013117-194,3,hK1,,,,
B2013117-195,3,hK1,,,,
K2013117-186,3,hK1,,,,
K2013117-187,3,hK1,,,,
K2013117-188,3,hK1,,,,
K2013117-189,3,hK1,,,,
K2013117-190,3,hK1,,,,
B2013117-199,3,hK1,,,,
K2013118-205,3,hK1,,,,
K2013118-204,3,hK1,,,,
K2013118-201,3,hK1,,,,
K2013118-200,3,hK1,,,,
N20131111-223,3,hK1,,,,
K20131113-231,3,hK1,,,,
K20131113-230,3,hK1,,,,
K20131113-241,3,hK1,,,,
K20131115-259,3,hK1,,,,
M20131206-864,4,hM1,,,,
N20131111-218,4,hM1,,,,
T20131112-226,4,hM1,,,,
K20131113-244,4,hM1,,,,
K20131113-236,4,hM1,,,,
T20131129a,5,hT1,,,,
T20131129b,5,hT1,,,,
T20131119-268,5,hT1,,,,
B2013117-191,6,hB1,,,,
B2013117-192,6,hB1,,,,
B2013117-193,6,hB1,,,,
B2013117-198,6,hB1,,,,
N20131111-212,6,hB1,,,,
N20131111-214,6,hB1,,,,
N20131118-266,6,hB1,,,,
N20131118-265,6,hB1,,,,
N20131111-208,7,hK2,,,,
N20131111-209,7,hK2,,,,
K20131113-232,7,hK2,,,,
K20131113-234,7,hK2,,,,
T20131119-267,7,hK2,,,,
K20131115-258,7,hK2,,,,
T20131121-280,7,hK2,,,,
K20131120-276,7,hK2,,,,
K20131120-275,7,hK2,,,,
B2013117-197,8,hK3,,,,
K2013118-203,8,hK3,,,,
K2013118-202,8,hK3,,,,
K20131113-229,8,hK3,,,,
K20131113-235,8,hK3,,,,
K20131113-238,8,hK3,,,,
N20131118-264,8,hK3,,,,
K20131119-271,8,hK3,,,,
K20131119-270,8,hK3,,,,
K20131120-279,8,hK3,,,,
K20131120-278,8,hK3,,,,
K20131120-277,8,hK3,,,,
K20131119-274,8,hK3,,,,
N20131111-207,9,hN2,,,,
N20131111-206,9,hN2,,,,
N20131111-219,9,hN2,,,,
N20131111-220,9,hN2,,,,
N20131111-210,9,hN2,,,,
N20131111-211,9,hN2,,,,
N20131111-213,9,hN2,,,,
N20131111-215,9,hN2,,,,
N20131111-217,9,hN2,,,,
N20131111-224,9,hN2,,,,
K20131115-260,9,hN2,,,,
K20131113-227,10,hK4,,,,
K20131113-233,10,hK4,,,,
K20131113-237,10,hK4,,,,
K20131113-239,10,hK4,,,,
K20131111-225,11,hK5,,,,
K20131113-242,11,hK5,,,,
K20131113-240,12,hK6,,,,
K20131113-245,12,hK6,,,,
K20131119-272,12,hK6,,,,
