id,pop,lat,lon,dist,twoname,yo
222,Lower,-35.29,148.96,46228.76,Bottom,2013
869,Upper,-35.47801163,149.0639663,13980.31,Top,2013
K20131123a,Middle,-35.40037893,149.0147227,28825.03,Bottom,2013
K20131123b,Middle,-35.40037893,149.0147227,28825.03,Bottom,2013
864,Middle,-35.43879611,149.0715458,20813.6,Top,2013
T20131129a,Upper,-35.527096,149.07622,8343.72,Top,2013
T20131129b,Upper,-35.527096,149.07622,8343.72,Top,2013
185,Middle,-35.4,149.01,28825.03,Bottom,2013
194,Lower,-35.37,148.98,34906.28,Bottom,2013
195,Lower,-35.37,148.98,34906.28,Bottom,2013
196,Lower,-35.37,148.98,34906.28,Bottom,2013
186,Middle,-35.4,149.01,28825.03,Bottom,2013
187,Middle,-35.4,149.01,28825.03,Bottom,2013
188,Middle,-35.4,149.01,28825.03,Bottom,2013
189,Middle,-35.4,149.01,28825.03,Bottom,2013
190,Middle,-35.4,149.01,28825.03,Bottom,2013
191,Lower,-35.37,148.98,34906.28,Bottom,2013
192,Lower,-35.37,148.98,34906.28,Bottom,2013
193,Lower,-35.37,148.98,34906.28,Bottom,2013
208,Lower,-35.29,148.96,46228.76,Bottom,2013
199,Lower,-35.37,148.98,34906.28,Bottom,2013
198,Lower,-35.37,148.98,34906.28,Bottom,2013
197,Lower,-35.37,148.98,34906.28,Bottom,2013
207,Lower,-35.29,148.96,46228.76,Bottom,2013
206,Lower,-35.29,148.96,46228.76,Bottom,2013
205,Middle,-35.4,149.01,28825.03,Bottom,2013
204,Middle,-35.4,149.01,28825.03,Bottom,2013
203,Middle,-35.4,149.01,28825.03,Bottom,2013
202,Middle,-35.4,149.01,28825.03,Bottom,2013
201,Middle,-35.4,149.01,28825.03,Bottom,2013
200,Middle,-35.4,149.01,28825.03,Bottom,2013
209,Lower,-35.29,148.96,46228.76,Bottom,2013
218,Lower,-35.29,148.96,46228.76,Bottom,2013
219,Lower,-35.29,148.96,46228.76,Bottom,2013
220,Lower,-35.29,148.96,46228.76,Bottom,2013
210,Lower,-35.29,148.96,46228.76,Bottom,2013
211,Lower,-35.29,148.96,46228.76,Bottom,2013
212,Lower,-35.29,148.96,46228.76,Bottom,2013
213,Lower,-35.29,148.96,46228.76,Bottom,2013
214,Lower,-35.29,148.96,46228.76,Bottom,2013
215,Lower,-35.29,148.96,46228.76,Bottom,2013
216,Lower,-35.29,148.96,46228.76,Bottom,2013
217,Lower,-35.29,148.96,46228.76,Bottom,2013
232,Middle,-35.4,149.01,28825.03,Bottom,2013
223,Lower,-35.29,148.96,46228.76,Bottom,2013
268,Upper,-35.52,149.07,8343.72,Top,2013
231,Middle,-35.4,149.01,28825.03,Bottom,2013
230,Middle,-35.4,149.01,28825.03,Bottom,2013
229,Middle,-35.4,149.01,28825.03,Bottom,2013
228,Middle,-35.4,149.01,28825.03,Bottom,2013
227,Middle,-35.4,149.01,28825.03,Bottom,2013
226,Upper,-35.52,149.07,8343.72,Top,2013
225,Middle,-35.4,149.01,28825.03,Bottom,2013
224,Lower,-35.29,148.96,46228.76,Bottom,2013
233,Middle,-35.4,149.01,28825.03,Bottom,2013
242,Middle,-35.4,149.01,28825.03,Bottom,2013
244,Middle,-35.4,149.01,28825.03,Bottom,2013
234,Middle,-35.4,149.01,28825.03,Bottom,2013
235,Middle,-35.4,149.01,28825.03,Bottom,2013
236,Middle,-35.4,149.01,28825.03,Bottom,2013
237,Middle,-35.4,149.01,28825.03,Bottom,2013
238,Middle,-35.4,149.01,28825.03,Bottom,2013
239,Middle,-35.4,149.01,28825.03,Bottom,2013
240,Middle,-35.4,149.01,28825.03,Bottom,2013
241,Middle,-35.4,149.01,28825.03,Bottom,2013
245,Middle,-35.4,149.01,28825.03,Bottom,2013
246,Middle,-35.4,149.01,28825.03,Bottom,2013
247,Middle,-35.4,149.01,28825.03,Bottom,2013
250,Upper,-35.47,149.06,13980.31,Top,2013
254,Upper,-35.47,149.06,13980.31,Top,2013
255,Upper,-35.47,149.06,13980.31,Top,2013
256,Upper,-35.47,149.06,13980.31,Top,2013
257,Middle,-35.4,149.01,28825.03,Bottom,2013
258,Middle,-35.4,149.01,28825.03,Bottom,2013
259,Middle,-35.4,149.01,28825.03,Bottom,2013
260,Middle,-35.4,149.01,28825.03,Bottom,2013
261,Middle,-35.4,149.01,28825.03,Bottom,2013
263,Lower,-35.29,148.96,46228.76,Bottom,2013
264,Lower,-35.29,148.96,46228.76,Bottom,2013
265,Lower,-35.29,148.96,46228.76,Bottom,2013
266,Lower,-35.29,148.96,46228.76,Bottom,2013
267,Upper,-35.52,149.07,8343.72,Top,2013
270,Middle,-35.4,149.01,28825.03,Bottom,2013
271,Middle,-35.4,149.01,28825.03,Bottom,2013
272,Middle,-35.4,149.01,28825.03,Bottom,2013
273,Middle,-35.4,149.01,28825.03,Bottom,2013
274,Middle,-35.4,149.01,28825.03,Bottom,2013
275,Middle,-35.4,149.01,28825.03,Bottom,2013
276,Middle,-35.4,149.01,28825.03,Bottom,2013
277,Middle,-35.4,149.01,28825.03,Bottom,2013
278,Middle,-35.4,149.01,28825.03,Bottom,2013
279,Middle,-35.4,149.01,28825.03,Bottom,2013
280,Upper,-35.52,149.07,8343.72,Top,2013
