LarvalID,nestdist,,,,
185,20137,,,,
186,19789,,,,
187,19429,,,Bin,Frequency
188,19609,,,-5312.3,1
189,19429,,,-353.5111111,2
190,20317,,,4605.277778,5
191,23026.3,,,9564.066667,0
192,26398.3,,,14522.85556,17
193,24442.3,,,19481.64444,22
194,28534.3,,,24440.43333,11
195,29062.3,,,29399.22222,7
196,29770.3,,,34358.01111,15
197,27994.3,,,More,6
198,23914.3,,,,
199,28354.3,,,,
200,16945,,,,
201,18721,,,,
202,19429,,,,
203,19969,,,,
204,18901,,,,
205,18361,,,,
206,34000.8,,,,
207,31864.8,,,,
208,32224.8,,,,
209,32932.8,,,,
210,34708.8,,,,
211,34348.8,,,,
212,32932.8,,,,
213,31864.8,,,,
214,32044.8,,,,
215,34348.8,,,,
216,33640.8,,,,
217,34348.8,,,,
218,34708.8,,,,
219,31156.8,,,,
220,35596.8,,,,
223,34888.8,,,,
224,32932.8,,,,
225,12505,,,,
226,-512.3,,,,
227,12865,,,,
228,14641,,,,
229,13045,,,,
230,14113,,,,
231,14461,,,,
232,14281,,,,
233,13573,,,,
234,16417,,,,
235,12685,,,,
236,14641,,,,
237,13393,,,,
238,14113,,,,
239,14113,,,,
240,13393,,,,
241,14281,,,,
242,15529,,,,
244,16237,,,,
245,12685,,,,
246,15529,,,,
247,14821,,,,
250,1032.3,,,,
254,1752.3,,,,
255,2100.3,,,,
256,2100.3,,,,
257,15169,,,,
258,13045,,,,
259,15169,,,,
260,13753,,,,
261,14821,,,,
263,39316.8,,,,
264,29740.8,,,,
265,37192.8,,,,
266,28672.8,,,,
267,2499.7,,,,
268,-5312.3,,,,
270,19789,,,,
271,19429,,,,
272,20137,,,,
273,13393,,,,
274,18361,,,,
275,24049,,,,
276,22273,,,,
277,17305,,,,
278,17305,,,,
279,16597,,,,
280,-692.3,,,,
